Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"524", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"525", 0.4, 1,     234.82,  -29.7,    1.0168, 2,    235.528, -150.2,    1.0199, 3,    237.962,   90.1,    1.0304
"526", 0.4, 1,    234.814,  -29.7,    1.0168, 2,    235.542, -150.2,    1.0199, 3,    237.965,   90.1,    1.0304
"527", 0.4, 1,     234.73,  -29.7,    1.0164, 2,     235.56, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"528", 0.4, 1,    234.749,  -29.7,    1.0165, 2,    235.707, -150.2,    1.0206, 3,    237.973,   90.1,    1.0305
"529", 0.4, 1,    234.974,  -29.8,    1.0175, 2,     235.82, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"530", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.509,   90.0,    1.0284
"531", 0.4, 1,    235.577,  -29.8,    1.0201, 2,    235.876, -150.1,    1.0214, 3,    237.499,   90.0,    1.0284
"532", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"533", 0.4, 1,    234.827,  -29.7,    1.0168, 2,    235.509, -150.2,    1.0198, 3,    237.957,   90.0,    1.0304
"534", 0.4, 1,     234.82,  -29.7,    1.0168, 2,    235.528, -150.2,    1.0199, 3,    237.962,   90.1,    1.0304
"535", 0.4, 1,    234.707,  -29.7,    1.0163, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"536", 0.4, 1,    234.749,  -29.7,    1.0165, 2,    235.707, -150.2,    1.0206, 3,    237.973,   90.1,    1.0305
"537", 0.4, 1,    234.971,  -29.8,    1.0175, 2,     235.82, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"538", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.499,   90.0,    1.0284
"539", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,     237.48,   90.0,    1.0283
"540", 0.4, 1,    235.576,  -29.8,    1.0201, 2,    235.875, -150.1,    1.0214, 3,    237.499,   90.0,    1.0284
"541", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"542", 0.4, 1,    234.833,  -29.7,    1.0169, 2,    235.496, -150.2,    1.0197, 3,    237.953,   90.0,    1.0304
"543", 0.4, 1,    234.827,  -29.7,    1.0168, 2,    235.509, -150.2,    1.0198, 3,    237.957,   90.0,    1.0304
"544", 0.4, 1,    234.698,  -29.7,    1.0163, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"545", 0.4, 1,    234.747,  -29.7,    1.0165, 2,    235.707, -150.2,    1.0206, 3,    237.973,   90.1,    1.0305
"546", 0.4, 1,    234.948,  -29.8,    1.0174, 2,     235.82, -150.2,    1.0211, 3,    237.942,   90.1,    1.0303
"547", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.488,   90.0,    1.0284
"548", 0.4, 1,    235.575,  -29.8,    1.0201, 2,    235.875, -150.1,    1.0214, 3,    237.498,   90.0,    1.0284
"549", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"550", 0.4, 1,    234.848,  -29.7,    1.0169, 2,    235.459, -150.2,    1.0196, 3,    237.944,   90.0,    1.0303
"551", 0.4, 1,    234.833,  -29.7,    1.0169, 2,    235.496, -150.2,    1.0197, 3,    237.953,   90.0,    1.0304
"552", 0.4, 1,    234.696,  -29.7,    1.0163, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"553", 0.4, 1,    234.678,  -29.7,    1.0162, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"554", 0.4, 1,    234.745,  -29.7,    1.0165, 2,    235.707, -150.2,    1.0206, 3,    237.973,   90.1,    1.0305
"555", 0.4, 1,    234.947,  -29.8,    1.0174, 2,     235.82, -150.2,    1.0211, 3,    237.942,   90.1,    1.0303
"556", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.459,   90.0,    1.0282
"557", 0.4, 1,    235.575,  -29.8,    1.0201, 2,    235.874, -150.1,    1.0214, 3,    237.498,   90.0,    1.0284
"558", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"559", 0.4, 1,    234.859,  -29.7,     1.017, 2,    235.433, -150.2,    1.0195, 3,    237.937,   90.0,    1.0303
"560", 0.4, 1,    234.848,  -29.7,    1.0169, 2,    235.459, -150.2,    1.0196, 3,    237.944,   90.0,    1.0303
"561", 0.4, 1,    234.696,  -29.7,    1.0163, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"562", 0.4, 1,    234.664,  -29.7,    1.0161, 2,    235.561, -150.2,      1.02, 3,    237.972,   90.1,    1.0304
"563", 0.4, 1,    234.727,  -29.7,    1.0164, 2,    235.707, -150.2,    1.0206, 3,    237.974,   90.1,    1.0305
"564", 0.4, 1,    234.946,  -29.8,    1.0173, 2,     235.82, -150.2,    1.0211, 3,    237.942,   90.1,    1.0303
"565", 0.4, 1,    235.574,  -29.8,    1.0201, 2,    235.873, -150.1,    1.0214, 3,    237.498,   90.0,    1.0284
"566", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"567", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.431, -150.2,    1.0194, 3,    237.935,   90.0,    1.0303
"568", 0.4, 1,    234.859,  -29.7,     1.017, 2,    235.433, -150.2,    1.0195, 3,    237.937,   90.0,    1.0303
"569", 0.4, 1,    234.859,  -29.7,     1.017, 2,    235.394, -150.2,    1.0193, 3,    237.937,   90.0,    1.0303
"570", 0.4, 1,    234.695,  -29.7,    1.0163, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
