Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINE583,    4.48113,   -47.96, 2.42752E-010,    54.76, 1.16415E-010,   -90.00,          0,     0.00,    4.48113,   -47.96,    4.48113,   132.04, 2.42752E-010,  -125.24, 1.16415E-010,    90.00,          0,     0.00,    4.48113,   132.04
Line.LINE584, 1.71319E-009,   -33.90,    4.46455,  -168.29, 2.2521E-010,   -53.87,          0,     0.00,    4.46455,  -168.29, 1.71319E-009,   146.10,    4.46455,    11.71, 2.2521E-010,   126.13,          0,     0.00,    4.46455,    11.71
Line.LINE585,    31.3536,   -47.99,    26.8571,  -168.29,    22.1859,    71.84,          0,     0.00,    7.83414,   -78.20,    31.3536,   132.01,    26.8571,    11.71,    22.1859,  -108.16,          0,     0.00,    7.83414,   101.80
Line.LINE586, 9.09495E-012,   180.00,    4.47406,  -168.34,    4.42602,    71.85,          0,     0.00,     4.4632,   132.29, 9.09495E-012,     0.00,    4.47406,    11.66,    4.42602,  -108.15,          0,     0.00,     4.4632,   -47.71
Line.LINE587, 1.27329E-011,   180.00, 3.09228E-011,     0.00, 3.25391E-011,   116.57,          0,     0.00, 2.93303E-011,    82.87, 1.27329E-011,     0.00, 3.09228E-011,   180.00, 3.25391E-011,   -63.43,          0,     0.00, 2.93303E-011,   -97.13
Line.LINE588, 2.89184E-009,   -28.89, 1.85991E-009,  -110.14, 2.79639E-009,    92.39,          0,     0.00, 1.80936E-009,   -11.13, 2.89184E-009,   151.11, 1.85991E-009,    69.86, 2.79639E-009,   -87.61,          0,     0.00, 1.80936E-009,   168.87
Line.LINE589, 2.63514E-010,   -52.22,    8.94907,  -168.34, 3.49246E-010,   -90.00,          0,     0.00,    8.94907,  -168.34, 2.63514E-010,   127.78,    8.94907,    11.66, 3.49246E-010,    90.00,          0,     0.00,    8.94907,    11.66
Line.LINE590,    4.48605,   -47.93, 2.40879E-010,  -112.89, 2.32831E-010,    90.00,          0,     0.00,    4.48605,   -47.93,    4.48605,   132.07, 2.40879E-010,    67.11, 2.32831E-010,   -90.00,          0,     0.00,    4.48605,   132.07
Line.LINE591,    4.48113,   -47.96, 2.50823E-010,   106.81, 1.16415E-010,   -90.00,          0,     0.00,    4.48113,   -47.96,    4.48113,   132.04, 2.50823E-010,   -73.19, 1.16415E-010,    90.00,          0,     0.00,    4.48113,   132.04
Line.LINE592, 1.9597E-009,   -35.39,    4.46455,  -168.29, 1.86355E-010,   -38.66,          0,     0.00,    4.46455,  -168.29, 1.9597E-009,   144.61,    4.46455,    11.71, 1.86355E-010,   141.34,          0,     0.00,    4.46455,    11.71
Line.LINE593,    31.3536,   -47.99,    26.8571,  -168.29,    22.1859,    71.84,          0,     0.00,    7.83414,   -78.20,    31.3536,   132.01,    26.8571,    11.71,    22.1859,  -108.16,          0,     0.00,    7.83414,   101.80
Line.LINE594, 6.63931E-011,     0.00,    4.47406,  -168.34, 2.18279E-011,     0.00,          0,     0.00,    4.47406,  -168.34, 6.63931E-011,   180.00,    4.47406,    11.66, 2.18279E-011,   180.00,          0,     0.00,    4.47406,    11.66
